,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,511flt1E6niG0sK5FkX_fQ,five-squared-pizza-chicago,Five Squared Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/01wPf084vkvAaLDHDULayA/o.jpg,False,https://www.yelp.com/biz/five-squared-pizza-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,22,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 41.88388, 'longitude': -87.70583}","['pickup', 'delivery']","{'address1': '135 N Kedzie Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60612', 'country': 'US', 'state': 'IL', 'display_address': ['135 N Kedzie Ave', 'Chicago, IL 60612']}",,,6164.348112500894,
1,1wSxClt75nOBS31--dlWYg,bobs-pizza-chicago,Bob's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/NtA_-fyc9l991m2TNvMcnA/o.jpg,False,https://www.yelp.com/biz/bobs-pizza-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,265,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 41.853945, 'longitude': -87.6683543622494}","['pickup', 'delivery']","{'address1': '1659 W 21st St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60608', 'country': 'US', 'state': 'IL', 'display_address': ['1659 W 21st St', 'Chicago, IL 60608']}",+13126006155,(312) 600-6155,5758.777903638266,$$
2,1gLInRBin_fPUyyVPXppVg,forbis-pizza-chicago,Forbis Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/rSgfsjuEKQMd42Il1-dsGA/o.jpg,False,https://www.yelp.com/biz/forbis-pizza-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,5,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 41.8011182672386, 'longitude': -87.6871}",['delivery'],"{'address1': '2509 W 51st St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60632', 'country': 'US', 'state': 'IL', 'display_address': ['2509 W 51st St', 'Chicago, IL 60632']}",+17734986187,(773) 498-6187,5022.146695215847,
3,JVu9PyDcJ9-v-trP9alBoA,fasanos-pizza-justice,Fasano's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/zIPYT9Bhtu5wLASIkxhXow/o.jpg,False,https://www.yelp.com/biz/fasanos-pizza-justice?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,171,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 41.73934, 'longitude': -87.81843}",[],"{'address1': '8351 S Roberts Rd', 'address2': '', 'address3': '', 'city': 'Justice', 'zip_code': '60458', 'country': 'US', 'state': 'IL', 'display_address': ['8351 S Roberts Rd', 'Justice, IL 60458']}",+17085986971,(708) 598-6971,12583.640877872165,$$
4,0fFLUKl71vv3eNV2xhikEw,spacca-napoli-chicago,Spacca Napoli,https://s3-media2.fl.yelpcdn.com/bphoto/fk1ppFx24Kv536giTUzVbw/o.jpg,False,https://www.yelp.com/biz/spacca-napoli-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,1746,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 41.963286, 'longitude': -87.673801}",['delivery'],"{'address1': '1769 W Sunnyside Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60640', 'country': 'US', 'state': 'IL', 'display_address': ['1769 W Sunnyside Ave', 'Chicago, IL 60640']}",+17738782420,(773) 878-2420,15355.149061265289,$$
5,aFBDlYavQOC58AnxSxcKQg,fat-chriss-pizza-and-such-chicago,Fat Chris's Pizza and Such,https://s3-media1.fl.yelpcdn.com/bphoto/jt0P6eTRPMBrWGV706Xzhg/o.jpg,False,https://www.yelp.com/biz/fat-chriss-pizza-and-such-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,292,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'buffets', 'title': 'Buffets'}]",4.0,"{'latitude': 41.9762649, 'longitude': -87.67228}","['pickup', 'delivery']","{'address1': '1706 W Foster Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60640', 'country': 'US', 'state': 'IL', 'display_address': ['1706 W Foster Ave', 'Chicago, IL 60640']}",+17739445444,(773) 944-5444,16765.844613703648,$$
6,QNbWTNuAEMWOurHN8rMXnA,chicago-pizza-and-oven-grinder-company-chicago,Chicago Pizza And Oven Grinder Company,https://s3-media4.fl.yelpcdn.com/bphoto/z_sI1ECW94akXvlTlNJruw/o.jpg,False,https://www.yelp.com/biz/chicago-pizza-and-oven-grinder-company-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,2892,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 41.92084, 'longitude': -87.63721}",['pickup'],"{'address1': '2121 N Clark St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2121 N Clark St', 'Chicago, IL 60614']}",+17732482570,(773) 248-2570,12573.759994889419,$$
7,7-K3Lcm9ng_9SmCvKBfbpw,obbies-pizza-chicago,Obbie's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/4SzZ3XN3Jair_ObrMAqgxw/o.jpg,False,https://www.yelp.com/biz/obbies-pizza-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,142,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 41.79249, 'longitude': -87.78885}",['delivery'],"{'address1': '6654 W Archer Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6654 W Archer Ave', 'Chicago, IL 60638']}",+17735862828,(773) 586-2828,6487.720016448878,$$
8,8vFJH_paXsMocmEO_KAa3w,lou-malnatis-pizzeria-chicago,Lou Malnati's Pizzeria,https://s3-media3.fl.yelpcdn.com/bphoto/FXGmfo6Dv7Wb4RDrSOYJrg/o.jpg,False,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,7034,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 41.890357, 'longitude': -87.633704}","['pickup', 'delivery']","{'address1': '439 N Wells St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60654', 'country': 'US', 'state': 'IL', 'display_address': ['439 N Wells St', 'Chicago, IL 60654']}",+13128289800,(312) 828-9800,10366.447105355792,$$
9,KbiQ2psAznXZyrrZ5Y-f2w,dannys-chicago-chicago,Danny's - Chicago,https://s3-media2.fl.yelpcdn.com/bphoto/fE52TIk86Jzv_oknC2W1QA/o.jpg,False,https://www.yelp.com/biz/dannys-chicago-chicago?adjust_creative=kHHFjcxOyoUuVt19RcYclg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHHFjcxOyoUuVt19RcYclg,172,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 41.79465, 'longitude': -87.76741}",[],"{'address1': '6021 South Archer Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6021 South Archer Ave', 'Chicago, IL 60638']}",+17735823456,(773) 582-3456,5115.017557289279,$$
